Quest,name,Points,Roof,Total
Mint Outlier Area,oa_minted,50,1,2200
Mint Outlier Area,oa_minted,150,3,2200
Mint Outlier Area,oa_minted,250,5,2200
Mint Outlier Area,oa_minted,500,10,2200
Mint Outlier Area,oa_minted,1250,25,2200
Mint Common Area,ca_minted,60,1,2640
Mint Common Area,ca_minted,180,3,2640
Mint Common Area,ca_minted,300,5,2640
Mint Common Area,ca_minted,600,10,2640
Mint Common Area,ca_minted,1500,25,2640
Mint Uncommon Area,ua_minted,70,1,3080
Mint Uncommon Area,ua_minted,210,3,3080
Mint Uncommon Area,ua_minted,350,5,3080
Mint Uncommon Area,ua_minted,700,10,3080
Mint Uncommon Area,ua_minted,1750,25,3080
Mint Rare Area,ra_minted,80,1,3520
Mint Rare Area,ra_minted,240,3,3520
Mint Rare Area,ra_minted,400,5,3520
Mint Rare Area,ra_minted,800,10,3520
Mint Rare Area,ra_minted,2000,25,3520
Mint Legendary Area,la_minted,90,1,3960
Mint Legendary Area,la_minted,270,3,3960
Mint Legendary Area,la_minted,450,5,3960
Mint Legendary Area,la_minted,900,10,3960
Mint Legendary Area,la_minted,2250,25,3960
Mint Outlier Sector,os_minted,100,1,4400
Mint Outlier Sector,os_minted,300,3,4400
Mint Outlier Sector,os_minted,500,5,4400
Mint Outlier Sector,os_minted,1000,10,4400
Mint Outlier Sector,os_minted,2500,25,4400
Mint Common Sector,cs_minted,110,1,4840
Mint Common Sector,cs_minted,330,3,4840
Mint Common Sector,cs_minted,550,5,4840
Mint Common Sector,cs_minted,1100,10,4840
Mint Common Sector,cs_minted,2750,25,4840
Mint Uncommon Sector,us_minted,120,1,5280
Mint Uncommon Sector,us_minted,360,3,5280
Mint Uncommon Sector,us_minted,600,5,5280
Mint Uncommon Sector,us_minted,1200,10,5280
Mint Uncommon Sector,us_minted,3000,25,5280
Mint Rare Sector,rs_minted,130,1,5720
Mint Rare Sector,rs_minted,390,3,5720
Mint Rare Sector,rs_minted,650,5,5720
Mint Rare Sector,rs_minted,1300,10,5720
Mint Rare Sector,rs_minted,3250,25,5720
Mint Legendary Sector,ls_minted,140,1,6160
Mint Legendary Sector,ls_minted,420,3,6160
Mint Legendary Sector,ls_minted,700,5,6160
Mint Legendary Sector,ls_minted,1400,10,6160
Mint Legendary Sector,ls_minted,3500,25,6160
Mint Outlier Zone,oz_minted,150,1,6600
Mint Outlier Zone,oz_minted,450,3,6600
Mint Outlier Zone,oz_minted,750,5,6600
Mint Outlier Zone,oz_minted,1500,10,6600
Mint Outlier Zone,oz_minted,3750,25,6600
Mint Common Zone,cz_minted,160,1,7040
Mint Common Zone,cz_minted,480,3,7040
Mint Common Zone,cz_minted,800,5,7040
Mint Common Zone,cz_minted,1600,10,7040
Mint Common Zone,cz_minted,4000,25,7040
Mint Uncommon Zone,uz_minted,170,1,7480
Mint Uncommon Zone,uz_minted,510,3,7480
Mint Uncommon Zone,uz_minted,850,5,7480
Mint Uncommon Zone,uz_minted,1700,10,7480
Mint Uncommon Zone,uz_minted,4250,25,7480
Mint Rare Zone,rz_minted,180,1,7920
Mint Rare Zone,rz_minted,540,3,7920
Mint Rare Zone,rz_minted,900,5,7920
Mint Rare Zone,rz_minted,1800,10,7920
Mint Rare Zone,rz_minted,4500,25,7920
Mint Legendary Zone,lz_minted,190,1,8360
Mint Legendary Zone,lz_minted,570,3,8360
Mint Legendary Zone,lz_minted,950,5,8360
Mint Legendary Zone,lz_minted,1900,10,8360
Mint Legendary Zone,lz_minted,4750,25,8360
Mint Outlier Domain,od_minted,200,1,8800
Mint Outlier Domain,od_minted,600,3,8800
Mint Outlier Domain,od_minted,1000,5,8800
Mint Outlier Domain,od_minted,2000,10,8800
Mint Outlier Domain,od_minted,5000,25,8800
Mint Common Domain,cd_minted,210,1,9240
Mint Common Domain,cd_minted,630,3,9240
Mint Common Domain,cd_minted,1050,5,9240
Mint Common Domain,cd_minted,2100,10,9240
Mint Common Domain,cd_minted,5250,25,9240
Mint Uncommon Domain,ud_minted,220,1,9680
Mint Uncommon Domain,ud_minted,660,3,9680
Mint Uncommon Domain,ud_minted,1100,5,9680
Mint Uncommon Domain,ud_minted,2200,10,9680
Mint Uncommon Domain,ud_minted,5500,25,9680
Mint Rare Domain,rd_minted,230,1,10120
Mint Rare Domain,rd_minted,690,3,10120
Mint Rare Domain,rd_minted,1150,5,10120
Mint Rare Domain,rd_minted,2300,10,10120
Mint Rare Domain,rd_minted,5750,25,10120
Mint Legendary Domain,ld_minted,240,1,10560
Mint Legendary Domain,ld_minted,720,3,10560
Mint Legendary Domain,ld_minted,1200,5,10560
Mint Legendary Domain,ld_minted,2400,10,10560
Mint Legendary Domain,ld_minted,6000,25,10560
Own Outlier Area,oa_owned,25,1,1100
Own Outlier Area,oa_owned,75,3,1100
Own Outlier Area,oa_owned,125,5,1100
Own Outlier Area,oa_owned,250,10,1100
Own Outlier Area,oa_owned,625,25,1100
Own Common Area,ca_owned,30,1,1320
Own Common Area,ca_owned,90,3,1320
Own Common Area,ca_owned,150,5,1320
Own Common Area,ca_owned,300,10,1320
Own Common Area,ca_owned,750,25,1320
Own Uncommon Area,ua_owned,35,1,1540
Own Uncommon Area,ua_owned,105,3,1540
Own Uncommon Area,ua_owned,175,5,1540
Own Uncommon Area,ua_owned,350,10,1540
Own Uncommon Area,ua_owned,875,25,1540
Own Rare Area,ra_owned,40,1,1760
Own Rare Area,ra_owned,120,3,1760
Own Rare Area,ra_owned,200,5,1760
Own Rare Area,ra_owned,400,10,1760
Own Rare Area,ra_owned,1000,25,1760
Own Legendary Area,la_owned,45,1,1980
Own Legendary Area,la_owned,135,3,1980
Own Legendary Area,la_owned,225,5,1980
Own Legendary Area,la_owned,450,10,1980
Own Legendary Area,la_owned,1125,25,1980
Own Outlier Sector,os_owned,50,1,2200
Own Outlier Sector,os_owned,150,3,2200
Own Outlier Sector,os_owned,250,5,2200
Own Outlier Sector,os_owned,500,10,2200
Own Outlier Sector,os_owned,1250,25,2200
Own Common Sector,cs_owned,55,1,2420
Own Common Sector,cs_owned,165,3,2420
Own Common Sector,cs_owned,275,5,2420
Own Common Sector,cs_owned,550,10,2420
Own Common Sector,cs_owned,1375,25,2420
Own Uncommon Sector,us_owned,60,1,2640
Own Uncommon Sector,us_owned,180,3,2640
Own Uncommon Sector,us_owned,300,5,2640
Own Uncommon Sector,us_owned,600,10,2640
Own Uncommon Sector,us_owned,1500,25,2640
Own Rare Sector,rs_owned,65,1,2860
Own Rare Sector,rs_owned,195,3,2860
Own Rare Sector,rs_owned,325,5,2860
Own Rare Sector,rs_owned,650,10,2860
